Index,Facility_Name,Source_Facility_Type,ODCAF_Facility_Type,Provider,Unit,Street_No,Street_Name,Postal_Code,City,Prov_Terr,Source_Format_Address,CSD_Name,CSDUID,PRUID,Latitude,Longitude
73,Église Notre-Dame-Des-Sept-Douleurs,église,miscellaneous,montréal,..,4155,rue wellington,H4G 1V8,montréal,qc,"4155, rue wellington",Montréal,2466023,24,45.4627187,-73.5670442
75,Église Précieux-Sang,"arts, lettres et culture",miscellaneous,repentigny,..,115,rue chauveau,..,repentigny,qc,"115 rue chauveau, repentigny",Repentigny,2460013,24,45.75887707,-73.43955207
76,Église Saint-James the Apostle,église,miscellaneous,montréal,..,1439,rue sainte-catherine ouest,H3G 1S6,montréal,qc,"1439, rue sainte-catherine ouest",Montréal,2466023,24,45.4965271,-73.57641
77,Église Saint-Joseph,église,miscellaneous,montréal,..,10050,boulevard gouin est,H1C 1A8,montréal,qc,"10050, boulevard gouin est",Montréal,2466023,24,45.6631723,-73.5620972
78,Église Saint-Paul-L'Ermite,"arts, lettres et culture",miscellaneous,repentigny,..,377,rue du-village,..,repentigny,qc,"377 rue du village, repentigny",Repentigny,2460013,24,45.75118581,-73.47078315
79,Église Saint-René-Goupil,église,miscellaneous,montréal,..,4251,rue du-parc,H1Z 1X8,montréal,qc,"4251, rue du parc-rené-goupil",Montréal,2466023,24,45.5779577,-73.6117604
81,Île-Des-Moulins,..,miscellaneous,province of québec,..,900,de-l'île-des-moulilns place,J6W 4N7,terrebonne,qc,"900, place de l'île-des-moulilns",Terrebonne,2464008,24,45.692078,-73.635441
82,"Électrium, Hydro-Québec's Electricity Interpretation Centre",..,art or cultural centre,province of québec,..,2001,rue michael,J3X 1Y2,sainte-julie,qc,"2001, rue michael-faraday",Sainte-Julie,2459010,24,45.605873,-73.378437
83,Érablière Du Lac-Beauport / Musée Des Animaux Du Québec,sugar shack,museum,province of québec,..,200,ch des-lacs,G3B 1C4,lac- beauport,qc,"200, ch. des lacs",Lac-Beauport,2422040,24,46.976427,-71.288692
84,Érico - Creative Chocolate Factory And Chocolate Museum,industrial tour,museum,province of québec,..,634,rue st-jean,G1R 1P8,québec,qc,"634, rue st-jean",Québec,2423027,24,46.810448,-71.219443
85,A Company of Fools Theatre Inc.,arts,theatre/performance and concert hall,ottawa,..,..,..,..,ottawa,on,..,Ottawa,3506008,35,45.40425735,-75.7123624
87,A Space Gallery,..,gallery,toronto,..,401,richmond st w,M5V 3A8,toronto,on,401 richmond st w,Toronto,3520005,35,43.64775543,-79.39474843
89,A.C. Davie Shipyard National Historical Site,museum / historic site,museum,province of québec,..,6210,rue st-laurent,G6V 3P4,lévis,qc,"6210, rue st-laurent",Lévis,2425213,24,46.814275,-71.184629
91,A.C. Hunter Public Library,..,library or archives,government of newfoundland and labrador,..,..,..,..,..,nl,..,St. John's,1001519,10,47.57573164,-52.72961637
92,A2D2 Inc. - Aerial Dance Cirque Company,live theatres and other performing arts presenters with facilities,theatre/performance and concert hall,mississauga,..,1095,strathy ave,L5E 2K1,mississauga,on,1095 strathy ave,Mississauga,3521005,35,43.5802269,-79.56019352
93,Aanischaaukamikw Cree Cultural Institute,exhibition or cultural centre historical society keeping house or native culture centre,art or cultural centre,canadian museums association,..,205,opemiska meskino,G0W 3C0,bougoumou,qc,205 opemiska meskino ouje-bougoumou québec g0w 3c0 canada,Oujé-Bougoumou,2499818,24,49.9240065,-74.8206599
94,Abbey Branch Library,..,library or archives,saskatchewan,..,336,cathedral avenue,S0N 0A0,abbey,sk,336 cathedral avenue,Abbey,4708048,47,50.7345631,-108.7576907
95,Abbotsford Community Library,fraser valley regional library,library or archives,government of british columbia,..,33660,fraser way south,V2S 2B9,nelson,bc,33660 south fraser way,Abbotsford,5909052,59,49.055028,-122.328655
96,Abbottsfield - Penny Mckee,..,library or archives,edmonton,..,3410,118 avenue,T5W 0Z4,edmonton,ab,3410 - 118 avenue,Edmonton,4811061,48,53.5704509,-113.3915179
97,Abc Heritage Preschool And Child Care,preschool and out of school care,heritage or historic site,township of langley,..,7949,208 st,..,township of langley,bc,..,Langley,5915001,59,49.14709735,-122.6467963
99,Aberdeen Branch Library,..,library or archives,saskatchewan,..,201,thompson st,S0K 0A0,aberdeen,sk,201 thompson st,Aberdeen,4715019,47,..,..
100,Aberdeen Cultural Centre,cultural centre,art or cultural centre,moncton,..,130,botsford st,E1C 4X5,moncton,nb,130 botsford st,Moncton,1307022,13,46.09320862,-64.77800739
102,Abernethy Book Deposit,..,library or archives,saskatchewan,..,..,..,S0A 0A0,abernethy,sk,..,Abernethy,4706046,47,..,..
103,Abernethy Nature-Heritage Museum,community/regional museum interpretation centre,museum,canadian museums association,..,..,main street,S0A 0A0,abernethy,sk,main street abernethy saskatchewan s0a 0a0 canada,Abernethy,4706046,47,..,..
104,Abitibi-Témiscamingue Emerging Music Festival,festival / special event,festival site,province of québec,..,167,murdoch avenue,J9X 1E3,rouyn noranda,qc,"167, avenue murdoch",Rouyn-Noranda,2486042,24,48.246727,-79.016883
105,Aboyne Branch Library,..,library or archives,regional municipality of waterloo,..,552,wellington road 18,..,waterloo,on,552 wellington road 18,Centre Wellington,3523025,35,43.69141873,-80.3947255
106,Acadia Municipal Library,..,library or archives,government of alberta,..,..,..,T0J 0A0,slave lake,ab,box 6,Slave Lake,4817029,48,..,..
108,Acadia University Archives And Special Collections,library and/or archives human history-archaelogy-anthropology or ethnology,library or archives,canadian museums association,..,..,..,B4P 2R6,wolfville,ns,kirkconnell reading room vaughan memorial lirary wolfville nova scotia b4p 2r6 canada,Wolfville,1207024,12,..,..
109,Acadia University Art Gallery,art gallery,gallery,canadian museums association,..,10,highland avenue,B4P 2R6,wolfville,ns,10 highland avenue wolfville nova scotia b4p 2r6 canada,Wolfville,1207024,12,45.09017265,-64.36463818
110,Acadian House Museum,exhibition or cultural centre historical society,museum,canadian museums association,..,79,hill rd west,B0J 1N0,chezzetcook,ns,79 hill rd west chezzetcook nova scotia b0j 1n0 canada,Halifax,1209034,12,44.7065995,-63.26166053
111,Acadian Museum,museum / historic,museum,moncton,..,405,universite ave,E1A 3E9,moncton,nb,405 universite ave,Moncton,1307022,13,46.10393465,-64.78543341
112,Acadian Museum of Prince Edward Island The,community/regional museum,museum,canadian museums association,..,23,main drive east,C0B 1T0,miscouche,pe,23 main drive east miscouche prince edward island c0b 1t0 canada,Miscouche,1103024,11,..,..
113,Acadian Village of Nova Scotia,..,miscellaneous,province of nova scotia,..,19,old church road,B0W 2C0,pubnico,ns,19 old church road,Argyle,1202001,12,43.63640148,-65.79750628
114,Acadie Rock,multicultural festivals and events,festival site,moncton,..,120,assomption blvd,E1C 0R9,moncton,nb,120 assomption blvd,Moncton,1307022,13,46.08673523,-64.77462409
115,Accessible Services,vancouver public library,library or archives,government of british columbia,..,345,robson st,V6B 6B3,nanaimo,bc,345 robson st,Vancouver,5915022,59,49.279222,-123.11624
116,Aceartinc.,art gallery,gallery,canadian museums association,..,290,mcdermot ave,R3B 0T2,winnipeg,mb,290 mcdermot ave 2nd floor winnipeg manitoba r3b 0t2 canada,Winnipeg,4611040,46,..,..
117,Acme Municipal Library,..,library or archives,government of alberta,..,610,walsh avenue,T0M 0A0,acme,ab,610 walsh avenue,Acme,4805044,48,51.4949879,-113.5128874
118,Acoustic Harvest Folk Club,creative,miscellaneous,toronto,..,1512,kingston road,..,toronto,on,1512 kingston road,Toronto,3520005,35,43.68957509,-79.2691792
119,Acoustica Concert Series,music festivals and events,festival site,moncton,..,175,park st,E1C 2C1,moncton,nb,175 park st,Moncton,1307022,13,46.091443,-64.78932657
120,Acoustica Concert Series,music festivals and events,festival site,moncton,..,120,westmorland st,E1C 0R9,moncton,nb,120 westmorland st,Moncton,1307022,13,46.08752138,-64.77832795
121,Adamason Estate Main House,heritage properties,heritage or historic site,mississauga,..,850,enola,..,mississauga,on,..,Mississauga,3521005,35,43.56198524,-79.56793341
122,Adams & Kennedy - the Wood Source,heritage trades,heritage or historic site,ottawa,..,6178,mitch road,..,ottawa,on,6178 mitch owens road,Ottawa,3506008,35,45.255888,-75.620936
123,Adamsons Heritage Nursery Ltd,nursery,heritage or historic site,township of langley,..,1832,240 st,..,township of langley,bc,..,Langley,5915001,59,49.0347018,-122.5538744
124,Addington Highlands Twp,..,library or archives,government of ontario,..,3641,flinton rd,K0H 1P0,flinton,on,3641 flinton rd.,Tweed,3512030,35,44.6397483,-77.2510114
125,Adelaide Hunter Hoodless Homestead,exhibition or cultural centre historic site-building or park,art or cultural centre,canadian museums association,..,359,blue rd,N0E 1N0,st-george,on,359 blue lake rd st. george ontario n0e 1n0 canada,Brant,3529005,35,43.2371236,-80.29698563
126,Adjala-Tosorontiotwp,..,library or archives,government of ontario,..,7855,sideroad 30 rr 1,L9R 1V1,alliston,on,7855 sideroad 30 r.r. #1,Adjala-Tosorontio,3543003,35,44.13177573,-79.90711576
127,Admaston/Bromley Twp,..,library or archives,government of ontario,..,5346,highway 60,K0J 1S0,douglas,on,5346 highway 60,..,..,..,..,..
128,Administrative Centre,fraser valley regional library,library or archives,government of british columbia,..,34589,delair rd,V2S 5Y1,abbotsford,bc,34589 delair rd,Abbotsford,5909052,59,49.036617,-122.266378
129,Admiral Corner Library,..,library or archives,saskatchewan,..,..,..,S0N 0B0,admiral,sk,..,..,..,47,..,..
130,Admiral Digby Museum,community/regional museum,museum,canadian museums association,..,95,montague row,B0V 1A0,digby,ns,95 montague row digby nova scotia b0v 1a0 canada,Digby,1203006,12,44.61992796,-65.75478854
131,Admiralty House Communications Museum And Archives,library and/or archives children's museum historic site-building or park,museum,canadian museums association,..,365,old placentia rd,A1N 0G7,mount pearl,nl,365 old placentia rd mount pearl newfoundland & labrador a1n 0g7 canada,Mount Pearl,1001542,10,47.5024588,-52.7980851
132,Advocate Harbour Library,branch,library or archives,government of nova scotia,..,93,mills road,B0M 1A0,advocate harbour,ns,93 mills road,"Cumberland, Subd. A",1211001,12,45.337283,-64.775302
134,Aerospace Heritage Foundation of Canada,aeronautics and space museum,museum,canadian museums association,..,..,..,M9A 4X2,etobicoke,on,p.o. box 246 etobicoke ontario m9a 4x2 canada,Toronto,3520005,35,43.6435559,-79.5656326
135,Aerospace Museum,..,museum,calgary,..,4629,mccall wy ne,..,calgary,ab,4629 mccall wy ne,Calgary,4806016,48,51.09440686,-114.0136597
136,Africville Heritage Trust Society,exhibition or cultural centre historic site-building or park human history-archaelogy-anthropology or ethnology,art or cultural centre,canadian museums association,..,5795,africville rd,B3K 2R9,halifax,ns,5795 africville rd halifax nova scotia b3k 2r9 canada,Halifax,1209034,12,44.6738443,-63.61948353
137,Aga Khan Museum,museum,museum,toronto,..,77,wynford dr,M3C 1K1,toronto,on,77 wynford dr,Toronto,3520005,35,43.7253857,-79.33233114
139,Agassiz Harrison Historical Society Museum,historical society,museum,canadian museums association,..,7011,pioneer street,V0M 1A0,agassiz,bc,po box 313 7011 pioneer street agassiz british columbia v0m 1a0 canada,Kent,5909032,59,49.2392807,-121.7654037
140,Agassiz Library,fraser valley regional library,library or archives,government of british columbia,..,7140,cheam ave,V0M 1A0,north vancouver,bc,7140 cheam ave,Squawkum Creek 3,5909882,59,49.243554,-121.992562
141,Age of Sail Heritage Centre,historical society natural history or natural sciences museum,museum,canadian museums association,..,8334,209 hwy,B0M 1T0,wards brook,ns,8334 hwy 209 wards brook nova scotia b0m 1t0 canada,"Cumberland, Subd. A",1211001,12,45.41471971,-64.55289505
142,Agincourt,..,library or archives,city of toronto,..,155,bonis ave,M1T 3W6,toronto,on,"155 bonis ave., toronto, on, m1t 3w6",Toronto,3520005,35,43.78516667,-79.29342963
143,Agnes Benidickson House,quenn's u historic building,heritage or historic site,kingston,..,55,stuart st,..,kingston,on,55 stuart st,Kingston,3510010,35,44.22605665,-76.49222412
144,Agnes Bugera Gallery Inc,..,gallery,edmonton,..,12310,jasper avenue nw,..,edmonton,ab,12310 jasper avenue nw,Edmonton,4811061,48,53.54136865,-113.5330197
148,Agnes Etherington Art Centre,art gallery,art or cultural centre,canadian museums association,..,99,university ave,K7L 3N6,kingston,on,queen's university 99 university ave kingston ontario k7l 3n6 canada,Kingston,3510010,35,44.2262622,-76.49519031
149,Agnes Etherington Art Centre (Gallery),gallery,gallery,kingston,..,36,university ave,..,kingston,on,36 university ave,Kingston,3510010,35,44.22547268,-76.49603868
150,Agnes Etherington Art Centre (Museum),museum,museum,kingston,..,36,university ave,..,kingston,on,36 university ave,Kingston,3510010,35,44.22547268,-76.49603868
151,Agnes Jamieson Gallery,art gallery exhibition or cultural centre,gallery,canadian museums association,..,176,bobcaygeon road,K0M 2K0,minden,on,176 bobcaygeon road minden ontario k0m 2k0 canada,Minden Hills,3546015,35,44.92962774,-78.72756246
152,Ago Art Rental + Sales Gallery,..,gallery,toronto,..,481,university ave,M5G 2H4,toronto,on,481 university ave,Toronto,3520005,35,43.65524442,-79.387749
153,Agora De La Danse,auditorium / theatre,theatre/performance and concert hall,province of québec,..,1435,rue de-bleury,H3A 2H7,montréal,qc,"édifice wilder - espace danse 1435, rue de bleury",Montréal,2466023,24,45.506799,-73.567695
154,Agora Des Arts,auditorium / theatre,theatre/performance and concert hall,province of québec,100,37,rue 7e,J9X 1Z6,rouyn-noranda,qc,"37, 7e rue bureau 100",Rouyn-Noranda,2486042,24,48.246317,-79.016785
155,Agricultural Museum of New Brunswick Inc.,agriculture museum,museum,canadian museums association,..,28,perry street,E4E 2N7,sussex,nb,28 perry street sussex new brunswick e4e 2n7 canada,Sussex,1305022,13,45.7237354,-65.50125974
156,Agriculture Museum,museum and art galleries,museum,ottawa,..,..,..,..,ottawa,on,..,Ottawa,3506008,35,45.3887634,-75.70949324
157,Ahva Gallery,museum/gallery,gallery,vancouver,..,6398,university blvd,..,vancouver,bc,6398 university blvd vancouver bc,Greater Vancouver A,5915020,59,49.2639124,-123.2549451
160,Ailsa Craig Library,libraries,library or archives,middlesex county,..,147,ailsa craig main street,..,middlesex,on,147ailsa craig main street,North Middlesex,3539041,35,43.14738384,-81.53657605
161,Aim Electronic Music Festival,festival / special event,festival site,province of québec,..,..,..,J0V 1X0,saint-andré-d'argenteuil,qc,rue du plein air,Saint-André-d'Argenteuil,2476008,24,45.570505,-74.376064
162,Air Defence Museum,museum / historic site,museum,province of québec,..,6513,ch des-aviateurs,G7B 3N8,saguenay,qc,"6513, ch. des aviateurs",Saguenay,2494068,24,48.339894,-70.990359
164,Air Force Heritage Museum And Air Park,military museum or fort transportation museum,museum,canadian museums association,..,..,..,R3J 3Y5,winnipeg,mb,1 canadian air division headquarters cfb winnipeg building 66 winnipeg manitoba r3j 3y5 canada,Winnipeg,4611040,46,..,..
165,Airdrie Public Library,..,library or archives,government of alberta,111,304,main street se,T4B 3C3,airdrie,ab,"111, 304 main street se",Airdrie,4806021,48,..,..
166,Ajax,..,library or archives,government of ontario,..,55,harwood avenue south,L1S 2H8,ajax,on,55 harwood avenue south,Ajax,3518005,35,43.850732,-79.0208307
168,Ajax Public Library - Mclean Branch,library,library or archives,regional municipality of durham,..,95,magill dr,L1T 3K7,ajax,on,95 magill dr,Ajax,3518005,35,43.8655872,-79.0369239
169,Ajax Public Library - Village Branch,library,library or archives,regional municipality of durham,..,58,church st n,L1T 2W6,ajax,on,58 church st n,Ajax,3518005,35,43.85642643,-79.05655655
170,Aka Artist-Run,art gallery,gallery,canadian museums association,..,424,20th st w,S7M 0X4,saskatoon,sk,424 20th st w saskatoon saskatchewan s7m 0x4 canada,Saskatoon,4711066,47,52.1262271,-106.6988265
171,Akasha Art Projects Gallery,..,gallery,toronto,..,511,church st,M4Y 2C9,toronto,on,511 church st,Toronto,3520005,35,43.66619476,-79.38093789
