lat,lon,facility_type,type,name,city,id
49.281052,-123.1001272,amenities,theatre/performance and concert hall,Carnegie Centre Theatre,Vancouver,5915022
49.2687198,-123.0980394,amenities,gallery,Catriona Jeffries Gallery,Vancouver,5915022
49.279079,-123.114496,amenities,theatre/performance and concert hall,Cbc Studio 700,Vancouver,5915022
49.33075439,-123.0715514,amenities,theatre/performance and concert hall,Centennial Theatre,North Vancouver,5915051
49.2797,-123.1156,amenities,library or archives,Central Branch,Vancouver,5915022
49.280067,-123.098181,amenities,museum,Centre A - Centre For Contemporary Asian Art,Vancouver,5915022
49.2657529,-123.1384021,amenities,gallery,Chali-Rosso Gallery,Vancouver,5915022
49.2191,-123.0402,amenities,library or archives,Champlain Heights,Vancouver,5915022
49.269523,-123.255108,amenities,theatre/performance and concert hall,Chan Centre For the Performing Art - Concert Hall,Greater Vancouver A,5915020
49.2821671,-123.0953265,amenities,theatre/performance and concert hall,Chapel Arts,Vancouver,5915022
49.270485,-123.132876,amenities,gallery,Charles H. Scott Gallery,Vancouver,5915022
49.2797742,-123.1023264,amenities,museum,Chinese Canadian Military Museum,Vancouver,5915022
49.279894,-123.102448,amenities,museum,Chinese Cultural Centre Museum And Archives,Vancouver,5915022
49.280474,-123.106621,amenities,theatre/performance and concert hall,Cineplex Odeon International Village Cinemas,Vancouver,5915022
49.272369,-123.135541,amenities,gallery,Circle Craft Co-Operative Shop & Gallery,Vancouver,5915022
49.19131,-122.849808,amenities,library or archives,City Centre,Surrey,5915004
49.284268,-122.79557,amenities,library or archives,City Centre Branch,Coquitlam,5915034
49.1641205,-123.1411334,amenities,library or archives,City of Richmond Archives,Richmond,5915015
49.276084,-123.142663,amenities,museum,City of Vancouver Archives,Vancouver,5915022
49.31386319,-123.076908,amenities,miscellaneous,Cityscape Community Art Space,North Vancouver,5915051
49.107276,-122.760497,amenities,library or archives,Cloverdale,Surrey,5915004
49.2843539,-123.109198,amenities,gallery,Coastal Peoples Fine Arts Gallery Gastown,Vancouver,5915022
49.2762084,-123.119591,amenities,gallery,Coastal Peoples Fine Arts Gallery Yaletown,Vancouver,5915022
49.2064788,-123.1423354,amenities,museum,Colbourne House/ Marpole Museum,Vancouver,5915022
49.2362,-123.0426,amenities,library or archives,Collingwood,Vancouver,5915022
49.2385727,-122.8619326,amenities,museum,Coquitlam Heritage Society Operating Mackin House,Coquitlam,5915034
49.25344945,-122.8457007,amenities,library or archives,Coquitlam Public Library,Coquitlam,5915034
49.269837,-123.13479,amenities,gallery,Craft Council of British Columbia Gallery,Vancouver,5915022
49.20545725,-122.9422878,amenities,artist,Cynthia Jennifer Smith,New Westminster,5915029
49.20940208,-122.914006,amenities,artist,David M. Adams,New Westminster,5915029
49.21288017,-122.899074,amenities,artist,David Mcfarland,New Westminster,5915029
49.19867539,-122.9205677,amenities,artist,Dee Spencer Native Art,New Westminster,5915029
49.3269993,-122.9501363,amenities,heritage or historic site,Deep Cove Heritage Society,North Vancouver,5915046
49.32698715,-122.9500893,amenities,theatre/performance and concert hall,Deep Cove Shaw Theatre,North Vancouver,5915046
49.06830874,-122.6597014,amenities,theatre/performance and concert hall,Delphi Custom Theatres Inc,Langley,5915001
49.09240685,-123.0868134,amenities,museum,Delta Museum And Archives Society,Delta,5915011
49.282364,-123.108528,amenities,theatre/performance and concert hall,Djavad Mowafaghian Cinema,Vancouver,5915022
49.2683622,-123.0692806,amenities,gallery,Doctor Vigari Gallery,Vancouver,5915022
49.21222676,-122.9205007,amenities,artist,Dogma Portraits,New Westminster,5915029
49.2643788,-123.2543722,amenities,theatre/performance and concert hall,Dorothy Somerset Studio Theatre,Greater Vancouver A,5915020
49.2648423,-123.1385998,amenities,gallery,Douglas Reynolds Gallery,Vancouver,5915022
49.2661804,-123.1399725,amenities,gallery,Douglas Udell Gallery,Vancouver,5915022
49.279983,-123.104168,amenities,museum,Dr. Sun Yat-Sen Classical Chinese Garden,Vancouver,5915022
49.246,-123.1856,amenities,library or archives,Dunbar,Vancouver,5915022
49.2721848,-123.1353489,amenities,gallery,Dundarave Print Workshop & Gallery,Vancouver,5915022
49.2653017,-123.1040486,amenities,museum,Dynamo Arts Association,Vancouver,5915022
49.2710507,-123.136077,amenities,gallery,Eagle Spirit Gallery,Vancouver,5915022
49.21059429,-122.9085843,amenities,artist,Eileen Kernaghan,New Westminster,5915029
49.2655257,-123.1385822,amenities,gallery,Elissa Cristall Galleries,Vancouver,5915022
49.21423991,-122.9032852,amenities,artist,Elizabeth Elwood,New Westminster,5915029
49.2688004,-123.1411548,amenities,gallery,Emily Carr Institute of Art + Design 1612 Gallery,Vancouver,5915022
49.267609,-123.09226,amenities,gallery,Equinox Gallery,Vancouver,5915022
49.15456337,-122.6289841,amenities,artist,Euro Artistic Metals Ltd,Langley,5915001
49.2853872,-122.7909589,amenities,gallery,Evergreen Cultural Centre Society,Coquitlam,5915034
49.16790012,-122.6652397,amenities,theatre/performance and concert hall,Famous Players Limited Partnership (Theatre),Langley,5915001
49.2784977,-123.1235587,amenities,theatre/performance and concert hall,Fanclub,Vancouver,5915022
49.2564138,-122.8937098,amenities,artist,Fang-Chih Liao,Burnaby,5915025
49.269582,-123.13225,amenities,gallery,Federation Gallery,Vancouver,5915022
49.282402,-123.10859,amenities,theatre/performance and concert hall,Fei & Milton Wong Experimental Theatre,Vancouver,5915022
49.32701461,-123.1578963,amenities,gallery,Ferry Building Gallery,West Vancouver,5915055
49.2630895,-123.1058083,amenities,museum,Field Contemporary,Vancouver,5915022
49.20233668,-122.9086714,amenities,gallery,Film2Frame Studio Gallery,New Westminster,5915029
49.282083,-123.097921,amenities,theatre/performance and concert hall,Firehall Arts Centre,Vancouver,5915022
49.262674,-123.137671,amenities,library or archives,Firehall Branch,Vancouver,5915022
49.155404,-122.779226,amenities,library or archives,Fleetwood,Surrey,5915004
49.169014,-122.579297,amenities,library or archives,Fort Langley Library,Langley,5915001
49.1674941,-122.5719671,amenities,heritage or historic site,Fort Langley National Historic Site of Canada,Langley,5915001
49.2806621,-123.1008605,amenities,theatre/performance and concert hall,Fortune Sound Club,Vancouver,5915022
49.2133457,-122.9257951,amenities,artist,"Franci Louann, Poet, Mentor, Proofreader",New Westminster,5915029
49.20049735,-122.9100439,amenities,art or cultural centre,Fraser River Discovery Centre,New Westminster,5915029
49.2197,-123.0669,amenities,library or archives,Fraserview,Vancouver,5915022
49.268215,-123.2572691,amenities,theatre/performance and concert hall,Frederic Wood Theatre,Greater Vancouver A,5915020
49.22821217,-122.8960336,amenities,artist,Freeflow Scenics Studio,New Westminster,5915029
49.21008247,-122.9341905,amenities,gallery,Gabor Gasztonyi Studio & Gallery,New Westminster,5915029
49.2680645,-123.0981191,amenities,gallery,Gallery 295,Vancouver,5915022
49.2821,-123.102645,amenities,gallery,Gallery Gachet,Vancouver,5915022
49.269727,-123.098623,amenities,gallery,Gallery Jones,Vancouver,5915022
49.2689012,-123.1438197,amenities,gallery,Gallery Jones,Vancouver,5915022
49.270046,-123.134283,amenities,gallery,Gallery of BC Ceramics,Vancouver,5915022
..,..,amenities,gallery,Gallery-The Spa Ltd,New Westminster,5915029
49.2813343,-123.101858,amenities,gallery,Gam Gallery,Vancouver,5915022
49.156793,-122.912391,amenities,library or archives,George Mackie Library,Delta,5915011
49.20580087,-122.9159098,amenities,artist,Gillian Wright,New Westminster,5915029
49.276261,-123.144436,amenities,museum,Gms Observatory,Vancouver,5915022
49.3387479,-123.0719629,amenities,gallery,Gordon Smith Gallery of Canadian Art,North Vancouver,5915046
49.2638926,-123.1386339,amenities,museum,Granville Fine Arts,Vancouver,5915022
49.270213,-123.134769,amenities,gallery,Granville Island Gallery,Vancouver,5915022
49.2565552,-123.0069167,amenities,heritage or historic site,Greater Vancouver Regional District Parks Department,Burnaby,5915025
49.26676,-123.09715,amenities,gallery,Grunt Gallery,Vancouver,5915022
49.193243,-122.803609,amenities,library or archives,Guildford,Surrey,5915004
49.12474915,-123.1869615,amenities,heritage or historic site,Gulf of Georgia Cannery National Historic Site,Richmond,5915015
49.22354832,-122.9164876,amenities,artist,Guy Allen,New Westminster,5915029
49.276361,-123.144299,amenities,museum,H.R. Macmillan Space Centre,Vancouver,5915022
49.2784569,-123.1184779,amenities,gallery,Harrison Galleries,Vancouver,5915022
49.2809,-123.05,amenities,library or archives,Hastings,Vancouver,5915022
49.272817,-123.185988,amenities,museum,Hastings Mill Store Museum,Vancouver,5915022
49.266025,-123.249913,amenities,gallery,Hatch Art Gallery,Greater Vancouver A,5915020
49.273662,-123.069421,amenities,gallery,Havana Gallery,Vancouver,5915022
49.2737114,-123.0694828,amenities,theatre/performance and concert hall,Havana Theatre,Vancouver,5915022
49.2654685,-123.1389124,amenities,gallery,Heffel Gallery Ltd,Vancouver,5915022
49.28073617,-123.0019167,amenities,theatre/performance and concert hall,Heidi Zolty,Burnaby,5915025
49.2073735,-122.9027455,amenities,miscellaneous,Helmcken House,New Westminster,5915029
49.31728509,-123.0514318,amenities,theatre/performance and concert hall,Hendry Hall Theatre,North Vancouver,5915046
49.08889962,-122.6249818,amenities,heritage or historic site,Heritage Chiropractic & Laser Therapy,Langley,5915001
49.06475098,-122.8184636,amenities,heritage or historic site,Heritage Christian School,Surrey,5915004
49.17229094,-122.6390509,amenities,heritage or historic site,Heritage Circle Installations Ltd,Langley,5915001
49.09266268,-122.6209107,amenities,heritage or historic site,Heritage Creek Design,Langley,5915001
49.1199896,-122.6557541,amenities,heritage or historic site,Heritage Drywall Ltd,Langley,5915001
49.20973569,-122.666899,amenities,heritage or historic site,Heritage Electric Ltd,Maple Ridge,5915075
..,..,amenities,heritage or historic site,Heritage House Rescue & Restoration,New Westminster,5915029
49.20097994,-122.958166,amenities,heritage or historic site,Heritage Life Drawing Society,New Westminster,5915029
49.11720987,-122.677601,amenities,heritage or historic site,Heritage Meats Ltd,Langley,5915001
49.30175173,-122.8302526,amenities,heritage or historic site,Heritage Mountain Community Centre,Port Moody,5915043
49.12391227,-122.6138616,amenities,heritage or historic site,Heritage Restoration Inc,Langley,5915001
49.17880512,-122.6739862,amenities,heritage or historic site,Heritage Steel Sales Ltd,Langley,5915001
49.22121254,-122.9077281,amenities,artist,Highland Dance With Miss Kathleen,New Westminster,5915029
49.2844721,-123.1081528,amenities,museum,Hill's Native Art,Vancouver,5915022
49.06508535,-122.8420091,amenities,heritage or historic site,Historic Stewart Farm,Surrey,5915004
49.20762944,-122.9062113,amenities,museum,Historical Museum,New Westminster,5915029
49.2653981,-123.1007282,amenities,museum,Hot Art Wet City,Vancouver,5915022
49.2661646,-123.1383868,amenities,gallery,Ian Tan Gallery,Vancouver,5915022
49.2846363,-123.097645,amenities,gallery,Ice Box Gallery,Vancouver,5915022
49.256761,-123.049576,amenities,museum,Il Museo,Vancouver,5915022
49.270764,-123.136248,amenities,theatre/performance and concert hall,Improv Centre,Vancouver,5915022
49.2023677,-122.9264296,amenities,miscellaneous,Institute For Stained Glass In Canada,New Westminster,5915029
49.2815282,-123.1043161,amenities,gallery,Interurban Gallery,Vancouver,5915022
49.2842455,-123.1088083,amenities,gallery,Inuit Gallery of Vancouver,Vancouver,5915022
49.133322,-123.095352,amenities,library or archives,Ironwood Branch,Richmond,5915015
49.256735,-123.050468,amenities,art or cultural centre,Italian Cultural Centre Society,Vancouver,5915022
49.2652632,-123.1019214,amenities,gallery,James Black Gallery,Vancouver,5915022
49.2810853,-123.1023067,amenities,gallery,James Tan Gallery,Vancouver,5915022
49.21466644,-122.9229655,amenities,artist,Janet Kvammen,New Westminster,5915029
49.2766268,-123.1211143,amenities,gallery,Jennifer Kostuik Gallery,Vancouver,5915022
49.272369,-123.202893,amenities,theatre/performance and concert hall,Jericho Arts Centre,Vancouver,5915022
49.22821217,-122.8960336,amenities,artist,Jerry Mclaughlin,New Westminster,5915029
49.2654274,-123.1174214,amenities,heritage or historic site,Jewish Historical Society of Bc,Vancouver,5915022
49.25586782,-122.9878278,amenities,miscellaneous,Jienelyn Dimatatac,Burnaby,5915025
49.19109951,-122.9398739,amenities,artist,Joann Heringer,New Westminster,5915029
49.2899,-123.1361,amenities,library or archives,Joe Fortes,Vancouver,5915022
49.22015475,-122.9124188,amenities,artist,Jonina Lynn Kirton,New Westminster,5915029
49.21098128,-122.9147048,amenities,artist,Judith Berlin,New Westminster,5915029
49.20991708,-122.9342054,amenities,artist,Judith Copland,New Westminster,5915029
49.20608943,-122.9475372,amenities,artist,Kate Colbourn,New Westminster,5915029
49.2491,-123.0753,amenities,library or archives,Kensington,Vancouver,5915022
49.2332,-123.1571,amenities,library or archives,Kerrisdale,Vancouver,5915022
49.32265365,-123.1205984,amenities,gallery,Khot-La-Cha Art Gallery,Capilano 5,5915808
49.08699895,-123.0776064,amenities,museum,Kits Point Military History Museum,Delta,5915011
49.2647,-123.1687,amenities,library or archives,Kitsilano,Vancouver,5915022
49.16982326,-122.5778897,amenities,gallery,Kizmit Gift Gallery Inc,Langley,5915001
49.2265597,-122.9016336,amenities,artist,Krachel Art,New Westminster,5915029
49.17032581,-122.5773185,amenities,gallery,Kube Gallery,Langley,5915001
49.282766,-123.1076,amenities,theatre/performance and concert hall,Kw Atrium Studio,Vancouver,5915022
49.20747027,-122.9234934,amenities,artist,Kyle Mckillop,New Westminster,5915029
49.2810651,-123.1017894,amenities,gallery,Labyrinth Gallery,Vancouver,5915022
49.087117,-123.08266,amenities,library or archives,Ladner Pioneer Library,Delta,5915011
49.1666277,-122.5767672,amenities,museum,Langley Centennial Museum,Langley,5915001
49.103549,-122.65676,amenities,library or archives,Langley City Library,Langley,5915002
49.23180735,-122.9003687,amenities,artist,Lanta Meng,New Westminster,5915029
49.2696829,-123.1406592,amenities,gallery,Lattimer Gallery,Vancouver,5915022
49.20354979,-122.9128583,amenities,theatre/performance and concert hall,Laura C. Muir Performing Arts Theatre,New Westminster,5915029
49.16507819,-122.5764243,amenities,heritage or historic site,Legacy Heritage Consultants,Langley,5915001
49.2199103,-122.6000192,amenities,library or archives,Library,Maple Ridge,5915075
49.02352685,-122.7973236,amenities,library or archives,Library,White Rock,5915007
49.284268,-122.79555,amenities,library or archives,Library Link,Coquitlam,5915034
49.21694609,-122.9781031,amenities,heritage or historic site,Lipsett Glazing Systems Inc,Burnaby,5915025
49.2030003,-122.950952,amenities,artist,Lisa Bunting,New Westminster,5915029
49.2480158,-123.1014023,amenities,gallery,Little Mountain Gallery,Vancouver,5915022
49.267681,-123.259146,amenities,gallery,Lobby Gallery,Greater Vancouver A,5915020
49.19423881,-122.9244548,amenities,artist,Lorrie Wager,New Westminster,5915029
49.3432489,-123.0187218,amenities,museum,Lynn Canyon Ecology Centre,North Vancouver,5915046
49.33827349,-123.0372858,amenities,museum,Lynn Valley Heritage Museum And Archives,North Vancouver,5915046
49.336693,-123.038858,amenities,library or archives,Lynn Valley Main,North Vancouver,5915046
49.212106,-122.922293,amenities,library or archives,Main Branch,New Westminster,5915029
49.2646046,-123.0992862,amenities,gallery,Make Gallery,Vancouver,5915022
49.271369,-123.135784,amenities,gallery,Malaspina Printmakers Gallery,Vancouver,5915022
49.298848,-123.133438,amenities,theatre/performance and concert hall,Malkin Bowl,Vancouver,5915022
49.2190735,-122.6002259,amenities,gallery,Maple Ridge And Pitt Meadows Arts Council,Maple Ridge,5915075
49.21037198,-122.5975721,amenities,museum,Maple Ridge Museum,Maple Ridge,5915075
49.22046,-122.600057,amenities,library or archives,Maple Ridge Public Library,Maple Ridge,5915075
49.19867539,-122.9205677,amenities,artist,Margo Prentice Stand-Up Comic,New Westminster,5915029
49.19899662,-122.9210936,amenities,theatre/performance and concert hall,"Margo Prentice, Golden Age Theatre, Artistic Director",New Westminster,5915029
49.21739643,-122.8954605,amenities,artist,Marilyn Norry,New Westminster,5915029
49.264079,-123.1386272,amenities,gallery,Marion Scott Gallery,Vancouver,5915022
49.2104,-123.14,amenities,library or archives,Marpole,Vancouver,5915022
49.21692135,-122.9191299,amenities,artist,Marya Mclellan,New Westminster,5915029
49.21515471,-122.9268431,amenities,theatre/performance and concert hall,Massey Theatre,New Westminster,5915029
..,..,amenities,theatre/performance and concert hall,Massey Theatre Society,New Westminster,5915029
49.218365,-122.953688,amenities,library or archives,Mcgill,Burnaby,5915025
49.28269051,-123.0006236,amenities,library or archives,Mcgill Library,Burnaby,5915025
49.20363,-123.1375815,amenities,theatre/performance and concert hall,Metro Theatre,Vancouver,5915022
49.26761,-123.0921743,amenities,gallery,Monte Clark Gallery,Vancouver,5915022
49.2683878,-123.255944,amenities,gallery,Morris And Helen Belkin Art Gallery,Greater Vancouver A,5915020
49.2643,-123.1002,amenities,library or archives,Mount Pleasant,Vancouver,5915022
49.12069,-122.656765,amenities,library or archives,Muriel Arnason Library,Langley,5915001
49.12040314,-122.6587791,amenities,library or archives,Muriel Arnason Library (Willowbrook),Langley,5915001
49.08975896,-122.6119582,amenities,library or archives,Murrayville Library,Langley,5915001
49.02169224,-122.8074195,amenities,museum,Museum,White Rock,5915007
49.16781256,-122.5751332,amenities,museum,Museum Annex,Langley,5915001
49.26946905,-123.2594145,amenities,museum,Museum of Anthropology,Greater Vancouver A,5915020
49.25732755,-123.1366058,amenities,museum,Museum of Original Costume The,Vancouver,5915022
49.10459322,-122.7322494,amenities,museum,Museum of Surrey,Surrey,5915004
49.276365,-123.144897,amenities,museum,Museum of Vancouver,Vancouver,5915022
49.20012164,-122.9116263,amenities,theatre/performance and concert hall,Music Box Music And Theatre Academy,New Westminster,5915029
49.21776635,-122.964558,amenities,museum,National Nikkei Museum - Heritage Centre,Burnaby,5915025
49.25454615,-123.1072302,amenities,library or archives,Neca?Mat Ct Strathcona Branch,Vancouver,5915022
49.19835904,-122.9200904,amenities,artist,New West Artists Society,New Westminster,5915029
..,..,amenities,heritage or historic site,New West Heritage Hall,New Westminster,5915029
49.21477756,-122.8958399,amenities,heritage or historic site,New Westminster Historical Society,New Westminster,5915029
..,..,amenities,festival site,New Westminster Hyack Festival Association,New Westminster,5915029
49.2078392,-122.9063479,amenities,museum,New Westminster Museum & Archives,New Westminster,5915029
49.21167222,-122.9223783,amenities,library or archives,New Westminster Public Library,New Westminster,5915029
49.2195661,-122.908408,amenities,library or archives,New Westminster Public Library And Archives,New Westminster,5915029
49.129975,-122.838988,amenities,library or archives,Newton,Surrey,5915004
49.13323412,-122.8471016,amenities,art or cultural centre,Newton Cultural Centre,Surrey,5915004
49.233433,-123.126011,amenities,theatre/performance and concert hall,Norman Rothstein Theatre,Vancouver,5915022
49.321066,-123.073542,amenities,library or archives,North Vancouver City Library,North Vancouver,5915051
49.3380126,-123.0366339,amenities,museum,North Vancouver Museum & Archives,North Vancouver,5915046
49.233625,-123.12042,amenities,library or archives,Oakridge Branch,Vancouver,5915022
49.2556543,-123.1351444,amenities,library or archives,Oblates of Mary Immaculate St. Paul's Province -Oblate Archives,Vancouver,5915022
49.033003,-122.8656,amenities,library or archives,Ocean Park,Surrey,5915004
49.266904,-123.255994,amenities,theatre/performance and concert hall,Old Auditorium,Greater Vancouver A,5915020
49.252773,-123.10056,amenities,gallery,On Main Gallery,Vancouver,5915022
49.281406,-123.112094,amenities,gallery,Or Gallery,Vancouver,5915022
49.2803528,-123.1194108,amenities,theatre/performance and concert hall,Orpheum Annex,Vancouver,5915022
49.279881,-123.12051,amenities,theatre/performance and concert hall,Orpheum Theatre,Vancouver,5915022
49.2797,-123.1156,amenities,library or archives,Outreach Services,Vancouver,5915022
49.278552,-123.12627,amenities,theatre/performance and concert hall,Pacific Cinémathèque,Vancouver,5915022
49.2624508,-123.2523425,amenities,museum,Pacific Museum of Earth,Greater Vancouver A,5915020
49.2607195,-123.1372216,amenities,theatre/performance and concert hall,Pacific Theatre,Vancouver,5915022
49.2913154,-123.1295134,amenities,theatre/performance and concert hall,Pal Studio Theatre,Vancouver,5915022
49.318722,-122.969798,amenities,library or archives,Parkgate,North Vancouver,5915046
49.283709,-123.119963,amenities,gallery,Pendulum Gallery,Vancouver,5915022
49.269212,-123.132002,amenities,theatre/performance and concert hall,Performance Works,Vancouver,5915022
49.22380465,-122.9040122,amenities,artist,Peri-Laine Nilan,New Westminster,5915029
49.2701374,-123.1337947,amenities,gallery,Peter Kiss Gallery,Vancouver,5915022
49.19162099,-122.939402,amenities,artist,Peter Lojewski,New Westminster,5915029
49.2652275,-123.0917358,amenities,gallery,Petley Jones Gallery,Vancouver,5915022
49.2649397,-122.6892698,amenities,museum,Pitt Meadows Museum,Pitt Meadows,5915070
49.221363,-122.68959,amenities,library or archives,Pitt Meadows Public Library,Pitt Meadows,5915070
49.21561134,-122.927494,amenities,gallery,Plaskett Gallery,New Westminster,5915029
49.01690996,-122.5728804,amenities,heritage or historic site,Points West Heritage Consulting Ltd,Langley,5915001
49.253185,-122.846541,amenities,library or archives,Poirier Branch,Coquitlam,5915034
..,..,amenities,museum,Port Coquitlam Heritage & Cultural Society,Coquitlam,5915034
49.16281,-122.790169,amenities,library or archives,Port Kells,Surrey,5915004
49.282312,-122.829572,amenities,library or archives,Port Moody Public Library,Port Moody,5915043
49.27919001,-122.8507565,amenities,museum,Port Moody Station Museum,Port Moody,5915043
49.31545021,-123.080156,amenities,gallery,Presentation House Gallery,North Vancouver,5915051
49.2420698,-123.1137689,amenities,heritage or historic site,Queen Elizabeth Park,Vancouver,5915022
