poi_name,Name,pid,Rating,Total_Review
Art Club/Bard On Beach Production Centre Theatre,"Newmont Stage at the BMO Theatre Centre, Arts Club Theatre Company",ChIJZ94eAGJxhlQRk8117dtiqow,4.5,183.0
Art Emporium,The Art Emporium,ChIJq1etJL9zhlQRyQVGHdYMuGg,5,2.0
Art Works Gallery,Art Works,ChIJX2rajmXtfVMR4izo8BW6l7U,no data,0.0
Arteclectica Gallery,Sid Dickens Inc,ChIJywNQ7UJxhlQR_nV7WeI51TY,5,7.0
Artist In Residence,Caetani Cultural Centre,ChIJM-Vqau_YfVMRiUzcKvU6fO4,4.6,21.0
Artists In the Boro,Boro Art Supply,ChIJ-8jff44KlVQRc90g8HTsV_A,4.8,77.0
Arts & Cultural Centre,Rotary Centre for the Arts,ChIJxfYIp1jzfVMROE9rb_Ceasg,4.4,31.0
Arts Club Theatre - Granville Island Stage,"Granville Island Stage, Arts Club Theatre Company",ChIJj6Jmb85zhlQRbdUEOydci3o,4.5,222.0
Arts Club Theatre - Revue Stage,"Granville Island Stage, Arts Club Theatre Company",ChIJj6Jmb85zhlQRbdUEOydci3o,4.5,222.0
Arts Club Theatre - Stanley Industrial Alliance Stage,"Stanley Industrial Alliance Stage, Arts Club Theatre Company",ChIJOUzupLhzhlQRIOQ9G20eido,4.6,629.0
Artspeak Gallery,Artspeak Gallery,ChIJ16ZETXdxhlQRT7OGxnNnn1Y,4.2,6.0
Artstarts In Schools,ArtStarts in Schools,ChIJjW7NaX5xhlQRHwpvPmkoDf8,4,3.0
Astorino's Hall,1739 Venables Hall,ChIJ2bl0Hz5xhlQRlDKnsxOcHNs,3.3,8.0
Audain Gallery,Audain Art Museum,ChIJzcNq7rI8h1QR43bcyDi5xrc,4.6,424.0
Ayden Gallery,Ayden Gallery,ChIJ6SNusXtxhlQRK8N9J0jL0Kw,4.5,2.0
Back Gallery Project,Mónica Reyes Gallery,ChIJefqr9m1xhlQRZTckcy8tQWY,4.6,7.0
Baf Studio,Studio BAF,ChIJoTaT0ajZB0ERYazB_j279ik,5,3.0
Basic Inquiry,Basic Inquiry,ChIJlzjIE2VxhlQRqrbFvxb0mXw,5,6.0
Bau-Xi Gallery,Bau-Xi Gallery,ChIJ9fwx4r5zhlQR3yJ5jk5pT5Y,4.4,12.0
BC Farm Machinery & Agricultural Museum Association,BC Farm Museum,ChIJBT3fCvbShVQRbwojVzpHyl8,4.5,74.0
BC Golf House Society,BC Golf Museum,ChIJvVzcmehyhlQRf5N4JB1DnUE,4.3,10.0
BC Regiment (Duke of Connaught's Own) Museum,B.C. Regiment (Duke of Connaught's Own) Drill Hall,ChIJzzDVintxhlQR4vqB2PIfxAE,4.8,8.0
BC Sports Hall of Fame Museum,BC Sports Hall of Fame and Museum,ChIJn0O2T3xxhlQRXXnanXyhFdk,4.3,109.0
Bearga Gallery,Bearga Gallery Inc.,ChIJpTf3SqTThVQRTHW_KFewEgA,5,3.0
Beaty Biodiversity Museum,Beaty Biodiversity Museum,ChIJsZ1NB8pyhlQRw4-fikYyFFU,4.5,662.0
Bel Art Gallery,Bel Art Gallery,ChIJ1Y3UFVl7hlQR1c74ffFJ1FM,5,1.0
Bella Coola Branch,Williams Lake and District Credit Union,ChIJOan-hJB5elQRvDdNBAnASKo,4,2.0
Big Lake,Big Lake,ChIJNbawY3YnoFMRb2lcOEqiDE4,3.3,15.0
Bill Reid Centre For Northwest Coast Studies At Simon Fraser University,Simon Fraser University,ChIJJyJ6hcB5hlQRW7Uwbj9sUAA,4.1,602.0
Bill Reid Gallery,Bill Reid Gallery of Northwest Coast Art,ChIJ09HC74FxhlQRHyXyCAa8AJQ,4.5,269.0
Birthplace of BC Gallery,Birthplace of B.C. Gallery,ChIJKwuuKFnShVQR9c5T3OvERRE,5,1.0
Bloedel Conservatory,Bloedel Conservatory,ChIJnwmhxIpzhlQRr3heOBl69fg,4.6,4454.0
Bob Prittie Metrotown Library,"Burnaby Public Library, Bob Prittie Metrotown Branch",ChIJu0r6z-x2hlQR8MFjWyu90J8,4.4,309.0
Bowser Branch,Union Bay Credit Union - Lighthouse Branch,ChIJ0zPiM0dhiFQR1hVyKdb_Xvo,5,3.0
Brenda Lee Fairfax,,0,,
Britannia,Britannia Installations,ChIJpftXJxvffVMRbIoOK0-GJrc,no data,0.0
Britannia Shipyards National Historic Site,Britannia Shipyards National Historic Site,ChIJiyw6atDhhVQRM01c7wOOBQY,4.5,842.0
British Columbia History of Nursing Society,British Columbia College of Nursing Professionals,ChIJ_UC0XMpxhlQRjquJR378Oxs,1.1,39.0
Brookswood Library,Brookswood Library,ChIJ0ScsWprPhVQRqAM-8i_pd-g,5,6.0
Bully's Studios Inc,Bully's Rehearsal Studios Inc.,ChIJi-qTaXLYhVQR20wsramdr9k,4.8,66.0
Burnaby Art Gallery,Burnaby Art Gallery,ChIJF4VB4Ad3hlQRPqMcPvho50A,4.4,28.0
Burnaby Village Museum,Burnaby Village Museum,ChIJA288NqZ3hlQRdrlOknfGAMk,4.6,2165.0
Burns Lake Public Library,Burns Lake Public Library,ChIJ51IO_ZgPdlQRaXtmrUMEzd0,4.8,4.0
Cameron,Cameron,ChIJ9ZqP6QKLfVMRqWY06d94l3E,no data,0.0
Cameron Library,UBC Okanagan Library,ChIJvzLVnn3tfVMRqh1Wz9uzJK4,3.7,11.0
Campbell River Branch,CIBC Branch with ATM,ChIJjVYeBbyoYlQRDvG5ZSvMq6k,1.3,17.0
Canadian Lacrosse Hall of Fame & Museum,Canadian Lacrosse Hall of Fame,ChIJXVkBWfyBC0EREYC1W74KCko,4.6,5.0
Canadian Museum Flight Association,Canadian Museum of Flight,ChIJlzyfJ0bOhVQRHLgf-fCQIGw,4.6,220.0
Canadian Museum of Flight Association,Canadian Museum of Flight,ChIJlzyfJ0bOhVQRHLgf-fCQIGw,4.6,220.0
Canadian Music Centre (BC Region),Canadian Music Centre BC,ChIJjaOMidRzhlQRnK4h2w8Alqc,4.6,19.0
Canadian Society of Asian Arts,Canadian Society For Asian Arts,ChIJ_UE1KHd0hlQRYQfX7uiYkuI,no data,0.0
Candice James,UBC Okanagan,ChIJEfCRon3tfVMRpPGNBbl5qHw,4.4,132.0
Capilano College Performing Arts Theatre,BlueShore Financial Centre for the Performing Arts,ChIJl69lZ219C0ERajxofG1-6vc,4.5,69.0
Capilano University Archives,Capilano University Library,ChIJU1APZn5whlQRJVnpclbjnNA,5,7.0
Carnegie Centre Theatre,Carnegie Community Centre,ChIJefCGwHBxhlQRGkC-RJTPtUo,4.1,591.0
Catriona Jeffries Gallery,Catriona Jeffries,ChIJhUS8sGBxhlQRbBJxBu7_Dbs,4.4,15.0
Cbc Studio 700,,0,,
Centennial Theatre,Centennial Theatre,ChIJmUtgCD1whlQRmo9aipB5yKU,4.2,374.0
Central Branch,Kelowna Downtown Library | ORL Branch,ChIJ6d-gkKf0fVMR9RSlz7s7g1o,4.7,58.0
Central Saanich Branch,Greater Victoria Public Library - Central Saanich Branch,ChIJSTSeUqVuj1QRzlgyEnDiToI,4.6,5.0
Centre A - Centre For Contemporary Asian Art,Centre A: Vancouver International Centre for Contemporary Asian Art,ChIJ36zlvedzhlQRnOYpQMJH0-Q,4.3,13.0
Chali-Rosso Gallery,Chali-Rosso Art Gallery,ChIJyVcY08dzhlQRLqFmehyfQ5k,4.5,61.0
Champlain Heights,Champlain Heights,ChIJFX49J9Z1hlQRHJYa_VcMfvI,no data,0.0
Chan Centre For the Performing Art - Concert Hall,Chan Centre for the Performing Arts,ChIJiV8337ByhlQRDOnSXQyGjYk,4.7,963.0
Chapel Arts,Chapel Arts,ChIJGYPjjXFxhlQRj9M9svy1ySU,4.4,14.0
Charles H. Scott Gallery,Libby Leshgold Gallery,ChIJaUgDss9zhlQRfgG43UIlj74,4.5,4.0
Chinese Canadian Military Museum,Okanagan Military Museum,ChIJA-15uaf0fVMRex7GplcJw_I,4.7,65.0
Chinese Cultural Centre Museum And Archives,Chinese Cultural Centre Museum,ChIJX8hzfXpxhlQRXw-cLYmgyBM,4.1,79.0
Cineplex Odeon International Village Cinemas,Cineplex Odeon International Village Cinemas,ChIJ6SNusXtxhlQRLmdNxRgcgxA,4,1590.0
Circle Craft Co-Operative Shop & Gallery,Circle Craft Store,ChIJ_zVCDYNxhlQR4cvQdGTfcG0,4.2,14.0
City of Richmond Archives,City of Richmond Archives,ChIJt-nv48kKhlQRgXgtGA-kHYY,4,1.0
City of Vancouver Archives,City of Vancouver Archives,ChIJb5FE0cxzhlQRhNcsezlkRiA,4.3,18.0
Cityscape Community Art Space,CityScape Community Art Space,ChIJA0D6AkxwhlQRGfQKJp9Kmzo,4.5,15.0
Coastal Peoples Fine Arts Gallery Gastown,Coastal Peoples Fine Arts Gallery,ChIJB33QRtZzhlQRraPO8GCrqWw,4.4,33.0
Coastal Peoples Fine Arts Gallery Yaletown,Coastal Peoples Fine Arts Gallery,ChIJB33QRtZzhlQRraPO8GCrqWw,4.4,33.0
Colbourne House/ Marpole Museum,Colbourne House,ChIJZTIn6-p0hlQRp8C26vJN2nU,no data,0.0
Collingwood,Collingwood,ChIJ5TpY6tt7KogRIKeLM-hhvtk,no data,0.0
Coquitlam Heritage Society Operating Mackin House,Coquitlam Heritage at Mackin House,ChIJl2CNVXJ4hlQRE3nLB9oxCHY,4.5,30.0
Coquitlam Public Library,"Poirier Branch, Coquitlam Public Library",ChIJGcziDIp4hlQRaNwWl3wP8-s,4.5,84.0
Cowichan Branch,Vancouver Island Regional Library,ChIJ__-_ZGdPj1QRj1bcCpEtbb8,4.7,16.0
Craft Council of British Columbia Gallery,Craft Council of BC,ChIJPQ6zHM9zhlQRJi__mFYu6nA,4.5,26.0
Cumberland Branch,Cumberland Branch Library,ChIJ507BpUkViFQRZP16I6i27SU,3.5,6.0
Cynthia Jennifer Smith,"Cynthia J. Smith, NP",ChIJWVjfnjsewVQRApO9RFv6Tr0,1,1.0
David M. Adams,Bannister Kelowna - Buick GMC,ChIJq2miiyyNfVMRwIRAHvm5lgQ,4.5,871.0
David Mcfarland,"David McFarland, MD",ChIJk_BB3KpukFQRFzBvXD0DzMg,no data,0.0
Dee Spencer Native Art,Douglas Reynolds Gallery,ChIJtwIUx8dzhlQRmN-hjQzn3Xg,5,28.0
Deep Cove Heritage Society,Deep Cove Cultural Centre,ChIJt2EnC1J6hlQRyN6Ao6Wo2xI,4.7,12.0
Deep Cove Shaw Theatre,Deep Cove Stage Society,ChIJhcEpdVJ6hlQR2lMO19cVNS8,4.7,25.0
Delphi Custom Theatres Inc,Delphi Custom Theatres Inc,ChIJyTGYeNXRhVQRNb07Q-FnTkk,no data,0.0
Delta Museum And Archives Society,Delta Museum,ChIJ19wKwunghVQRHJTzfCZ8s_4,3.4,5.0
Djavad Mowafaghian Cinema,Djavad Mowafaghian Foundation,ChIJdxvOhUhwhlQRBhf74FZiTSQ,4,2.0
Doctor Vigari Gallery,The Doctor Vigari Gallery,ChIJfcNAp0dxhlQRV0LrL8RjRUc,4.7,6.0
Dogma Portraits,Dogma Pet Portraits,ChIJUecmOIrf3IARgwfO7s5xBtI,5,9.0
Dorothy Somerset Studio Theatre,Dorothy Somerset Studio,ChIJr_GGv7VyhlQRs4Ff7PhxsHA,4,13.0
Douglas Reynolds Gallery,Douglas Reynolds Gallery,ChIJtwIUx8dzhlQRmN-hjQzn3Xg,5,28.0
Douglas Udell Gallery,Doug Udell Gallery Ltd,ChIJy5BkeshzhlQRyWgX0BFE8jE,no data,0.0
Dr. Sun Yat-Sen Classical Chinese Garden,Dr. Sun Yat-Sen Classical Chinese Garden,ChIJ8ToMkXpxhlQRYqJG8pg7rQI,4.2,3887.0
Dunbar,Stewart Dunbar - Coldwell Banker Horizon Realty - Kelowna,ChIJIcImAKn0fVMRAEVn4-bj3Q0,no data,0.0
Dundarave Print Workshop & Gallery,Dundarave Print Workshop,ChIJbwuKZc5zhlQRYLbPe2ErWi4,4.5,2.0
Dynamo Arts Association,Dynamo Arts Association,ChIJz1JVS4Z-C0ERI1BkLAMxfgM,4.7,3.0
Eagle Spirit Gallery,Eagle Spirit Gallery,ChIJDRs7885zhlQRnvQXHXNF-aA,4.2,25.0
Eileen Kernaghan,,0,,
Elissa Cristall Galleries,,0,,
Elizabeth Elwood,Dr Elwood Astleford DDS,ChIJl5AclRfZfVMRvZj8FN3loHY,no data,0.0
Emily Carr Institute of Art + Design 1612 Gallery,Emily Carr University of Art + Design,ChIJH6WXuV1xhlQR0PSIpGhUQ0o,3.9,109.0
Equinox Gallery,Equinox Gallery,ChIJORQNxsdzhlQRkjsytcr0cXE,4.4,42.0
Esquimalt Branch,Greater Victoria Public Library - Esquimalt Branch,ChIJm5SkLVBzj1QRk0CGz-2emhI,4.9,10.0
Euro Artistic Metals Ltd,Euro Artistic Metals Ltd,ChIJfUmd1iXShVQR7h7m8g-08Rk,no data,0.0
Evergreen Cultural Centre Society,Evergreen Cultural Centre,ChIJlQY3OzB_hlQR6gdzsnFqLBE,4.5,417.0
Famous Players Limited Partnership (Theatre),Cineplex Cinemas Orchard Plaza,ChIJ7xetL8iMfVMREN1HB2GbjRs,4.3,947.0
Fanclub,Bryan Adams Fan Club,ChIJs2OIbXpxhlQRyUuPWmarndg,no data,0.0
Fang-Chih Liao,,0,,
Federation Gallery,Federation Gallery,ChIJN05VLndzhlQRFl5m84NzW0Y,5,32.0
Fei & Milton Wong Experimental Theatre,SFU Goldcorp Centre for the Arts,ChIJwV6Ui3lxhlQRhgPt5mpbTdM,4.3,34.0
Ferry Building Gallery,Ferry Building Gallery | West Vancouver,ChIJVcGhLxpuhlQRoiuGJ1DIu44,4.5,36.0
Field Contemporary,Eastvanchopcycle Custom Electric bicycles and repairs,ChIJZ3UV-uBzhlQRPmPr47mY-qw,5,1.0
Film2Frame Studio Gallery,Film2Frame Studio Gallery Inc,ChIJXxAlvYPZhVQRCrE3LaoDNgw,4.5,2.0
Firehall Arts Centre,Firehall Arts Centre,ChIJaxqNCXFxhlQRwFj7lwMLrUw,4.3,172.0
Firehall Branch,"Vancouver Public Library, Firehall Branch",ChIJh_Vsb8dzhlQRo3zWwxVDwbI,4.5,24.0
Fort Langley National Historic Site of Canada,Fort Langley,ChIJF-k71PXShVQR95AdMtgF0OU,4.6,284.0
Fort Nelson Public Library,Fort Nelson Public Library,ChIJbVyG4JKt7lMROU9UVXp1zns,4,5.0
Fort St. James Centennial Library,Public Library,ChIJL-Q-46ehiVMRebd8o41jMJU,4.5,2.0
Fort St. John Public Library Association,Fort St. John Public Library,ChIJXyitgI82klMRGlwuUhyOa6s,4.5,20.0
Fortune Sound Club,Fortune Sound Club,ChIJzRKRZXBxhlQRnjhd0FkQyqk,3.8,250.0
"Franci Louann, Poet, Mentor, Proofreader",,0,,
Fraser River Discovery Centre,Fraser River Discovery Centre,ChIJDwDMWG7YhVQRDOdiVlW9kuk,4.3,138.0
Fraserview,Fraserview Golf Course,ChIJqW57tcF1hlQRCFnyi2kJn_U,4.4,562.0
Frederic Wood Theatre,Frederic Wood Theatre,ChIJ4RTE_bNyhlQRUehTTwHx3lA,4.6,74.0
Freeflow Scenics Studio,Adventure Quest Tours Canada,ChIJI6oCgRivYlQRXegKguqttog,4.9,24.0
Gabor Gasztonyi Studio & Gallery,Gabor Gasztonyi Studio,ChIJ48zyBtd3hlQRbWDAHjW6LGA,4.8,9.0
Galiano Island Community Library,Galiano Island Community Library,ChIJr2ExZ6X3hVQR1nPQCgaLUjY,3.5,6.0
Gallery 295,Gallery 295,ChIJcSdxn2BxhlQRS7VtLJ8H2rE,5,1.0
Gallery Gachet,Gallery Gachet,ChIJQ8xfv3BxhlQRO0J7RqkHBZ0,4.4,14.0
Gallery Jones,Gallery Jones Fine Arts Ltd,ChIJR2S_phBuhlQRM9-rkVuzQcA,4.8,17.0
Gallery of BC Ceramics,Gallery of BC Ceramics,ChIJMS4BBM9zhlQRJ-OzcFtoZ5A,4.9,10.0
Gallery-The Spa Ltd,Gallery-The Spa,ChIJY2LSRN93hlQRLjk-Fbz02nQ,4.6,73.0
Gam Gallery,Gam Gallery,ChIJwzlQjnBxhlQR3ZgakIaQo1M,4.8,8.0
Gillian Wright,UBC Okanagan,ChIJEfCRon3tfVMRpPGNBbl5qHw,4.4,132.0
Gms Observatory,Gordon Southam Observatory,ChIJSYNqWTNyhlQR7CmhWOWNXA4,3.9,28.0
Golden Branch,Golden Library | ORL Branch,ChIJUX8VGJq_eVMRyBLTgSFKd3k,4.7,3.0
Gordon Smith Gallery of Canadian Art,Gordon Smith Gallery of Canadian Art,ChIJV-ynPTxwhlQROsYq03Gr-yw,4.6,19.0
Granisle Public Library,Granisle Public Library,ChIJ_aJb3695ilMRd25PBqhMFtk,no data,0.0
Granville Fine Arts,Vancouver Fine Art Gallery,ChIJPYxOsoVzhlQRnkQ_J9VR3lM,5,11.0
Granville Island Gallery,Ukama Gallery,ChIJN1YA885zhlQRTZ_euOE8v9w,4.5,15.0
Greater Vancouver Regional District Parks Department,Kelowna Parks Division,ChIJYz1i8F2LfVMR2gLPDG0qkGg,4.7,3.0
Grunt Gallery,grunt gallery,ChIJfdHGal5xhlQRyxsO2eYBmlc,4.4,16.0
Guildford,Kalamalka at Guildford,ChIJmwp0OTHZfVMRhO1SgozmPoQ,no data,0.0
Gulf of Georgia Cannery National Historic Site,Gulf of Georgia Cannery National Historic Site,ChIJZTvdPXYKhlQRCqHE9q0UWUA,4.5,703.0
Guy Allen,Guy & Allen Funeral Directors,ChIJWyqcILbCEYgRNDphf9WyFKw,4.4,16.0
H.R. Macmillan Space Centre,H.R. MacMillan Space Centre,ChIJX-DfNzNyhlQR76LZl5hs5bc,3.7,261.0
Haney House Museum,Thomas Haney House,ChIJqcPV-WbThVQRYXFXFAkU7Hw,4.4,20.0
Harrison Galleries,Harrison Galleries,ChIJD6k9B35xhlQRptWzT3rMpN8,3.7,15.0
Hastings,Hastings County,ChIJcym6LrdG00wRjPOR0joKjhg,no data,0.0
Hastings Mill Store Museum,Old Hastings Mill Store Museum,ChIJaZKdbldyhlQRZkfvBTEVjpU,4.6,56.0
Hatch Art Gallery,Hatch Art Gallery,ChIJ68YmydVzhlQReJ_7HXAqYtY,no data,0.0
Havana Gallery,Havana Gallery,ChIJW_TA7R3TD4gRc-WJnJfGezo,5,1.0
Havana Theatre,Havana Vancouver,ChIJz-KODz9xhlQRtVWCFPnJBpY,4.2,1737.0
Heffel Gallery Ltd,Heffel Gallery Limited,ChIJJUncl-VvcVMRUBp4ncld7uE,no data,0.0
Heidi Zolty,,0,,
Hendry Hall Theatre,,0,,
Heritage Chiropractic & Laser Therapy,Heritage Chiropractic & Sports Medicine,ChIJuSz6is9AhFQR9X9fLTmEMK4,4.9,37.0
Heritage Christian School,Heritage Christian School,ChIJJ0T1dS-NfVMRIK_DDvUV3vE,4.4,42.0
Heritage Circle Installations Ltd,Baerg Exteriors,ChIJjbVI6ZKJblMRWzGmIeqMpqo,no data,0.0
Heritage Creek Design,Heritage Creek by Christenson Developments,ChIJBZ1vPACPn1MR0BDJqzbOE6U,3.8,4.0
Heritage Drywall Ltd,Heritage Drywall Ltd,ChIJXYHTAkbRhVQRMhrSka58jy4,4.7,6.0
Heritage Electric Ltd,Heritage Electric Ltd,ChIJa8tWF3PUhVQRh7xTMNjXhGM,5,1.0
Heritage House Rescue & Restoration,Heritage House Clocks,ChIJqeIljM0mTIYRgNCmu5kVCJM,4.4,38.0
Heritage Life Drawing Society,The Vancouver Life Drawing Society,ChIJT1B9B2VxhlQRZ7rjot6ql6Q,4,2.0
Heritage Meats Ltd,Heritage Meats Ltd,ChIJiTIe2S3QhVQRXLP-SkMz0Sk,4.5,214.0
Heritage Mountain Community Centre,Heritage Mountain Community Centre,ChIJwcqorMx-hlQRuk1nZVfEQVs,4.5,31.0
Heritage Restoration Inc,Heritage Restoration Inc,ChIJXXMG4hoBkVQRHK22je3revQ,no data,0.0
Heritage Steel Sales Ltd,Heritage Steel Sales Ltd,ChIJVQU7ql_RhVQRm93iNKIQTvE,3.8,4.0
Highland Dance With Miss Kathleen,Kathleen Laurie Sch-Highland,ChIJ_8L4uolzj1QRsdYqeHYp1cg,no data,0.0
Hill's Native Art,Hill's Native Art,ChIJgUeKGsJFj1QR_0vwJDqp7U4,4.4,52.0
Historic Stewart Farm,Historic Stewart Farm,ChIJmURORKjchVQRxhGwzQzdkfo,4.5,299.0
Historical Museum,Okanagan Heritage Museum,ChIJOaJuMqb0fVMR5msW3yRcs2A,4.5,182.0
Hornby Island Branch,Union Bay Credit Union - Hornby Island Branch,ChIJDxn7nm5liFQRI1tpdimM-pU,5,1.0
Hot Art Wet City,Hot Art Wet City,ChIJD9iPk19xhlQRvtpfI-EdMrw,4.6,14.0
Hudson's Hope Public Library,Hudson's Hope Public Library,ChIJRwdJ3N6KjVMRC1HQr-xaCWA,no data,0.0
Ian Tan Gallery,Ian Tan Art Gallery Vancouver,ChIJnQwCK8ZzhlQR5i2qTdpKDRU,4.6,14.0
Ice Box Gallery,Ice Box Gallery,ChIJ08rDWXFxhlQRIjddEzSWw-o,5,1.0
Il Museo,Italian Cultural Centre,ChIJr95Zbsp2hlQRgCV_lfL0Hk0,4.2,234.0
Improv Centre,Improv Centre,ChIJ1-Gui85zhlQRM2tVpv6iMAs,4.7,160.0
Institute For Stained Glass In Canada,Robert McCausland Limited,ChIJoVMQS7g3K4gR0hnGrUadQTk,5,1.0
Interurban Gallery,Interurban Gallery,ChIJs4tSC3pxhlQR7bVH_vbMDok,4.8,9.0
Inuit Gallery of Vancouver,Inuit Gallery Of Vancouver,ChIJW9JVzHlxhlQRg6J1F0sdmi4,4.6,33.0
Italian Cultural Centre Society,Italian Cultural Centre,ChIJr95Zbsp2hlQRgCV_lfL0Hk0,4.2,234.0
James Black Gallery,James Black Gallery,ChIJy3nr9F9xhlQRbdqCqDEVj9A,4.9,26.0
James Tan Gallery,James Tan Gallery,ChIJQWJXgHBxhlQRFdT693d-Qig,no data,0.0
Janet Kvammen,,0,,
Jennifer Kostuik Gallery,Jennifer Kostuik Gallery,ChIJxcyXZdZzhlQRIVHgfNIWXIA,3.8,15.0
Jericho Arts Centre,Jericho Arts Centre,ChIJo07lSfFyhlQRVnQVLKkME6Y,4.3,38.0
Jerry Mclaughlin,Law Offices Of Jerry D McLaughlin,ChIJHZXMe9lPAYcR6_UT_OC1SfE,4.6,17.0
Jewish Historical Society of Bc,Jewish Museum and Archives of British Columbia,ChIJta5c93h0hlQRkn_YaPX2VOw,3.3,3.0
Jienelyn Dimatatac,,0,,
Joann Heringer,,0,,
Joe Fortes,Joe Fortes Seafood & Chop House,ChIJiUwIWIBxhlQRzKG3k_9C-T8,4.5,4213.0
Jonina Lynn Kirton,,0,,
Juan De Fuca Branch,Greater Victoria Public Library - Juan de Fuca Branch,ChIJ0RG78oN0j1QRKhkG5TiLcPM,4.2,20.0
Judith Berlin,JUDITH SCHMIDER handmade fashion Berlin c/o NOW&THEN,ChIJr1F8oIFQqEcRID0cFwLJKJo,5,1.0
Judith Copland,Judith Copland,ChIJx_b-igR4hlQRokvxIrR-084,no data,0.0
Kate Colbourn,,0,,
Kensington,The Kensington,ChIJpZRhkeWJglQRh8CE0RmS9lM,no data,0.0
Keremeos Branch,Royal Canadian Legion Branch 192,ChIJ5c6LFwflglQRzToIZNAbq1M,4.2,11.0
Kerrisdale,Kerrisdale,ChIJU26xVGVzhlQRnWelOsO5RnE,no data,0.0
Khot-La-Cha Art Gallery,Khot-La-Cha Art Gallery & Gift Shop,ChIJM1OZs9txhlQRVhI25fM3l_A,4,5.0
Kimberley Public Library,Kimberley Public Library,ChIJERMk7PDUZFMRFwmTZbdg16s,4.5,6.0
Kits Point Military History Museum,Vancouver Maritime Museum,ChIJiVHFdzNyhlQRjW3eJ2KKZM0,4.4,188.0
Kitsilano,Kitsilano,ChIJaakf77JzhlQRKLsSHv5SUBc,no data,0.0
Kizmit Gift Gallery Inc,Kizmit Gift Gallery,ChIJfW6FLfbShVQRSra14rGz3jY,4.9,9.0
Krachel Art,West Kelowna Music School,ChIJp11hTTd1glQRSSkSRL9dS1w,5,7.0
Kube Gallery,The KUBE Gallery,ChIJtVjU3k3hhVQRZnBN-P3mSqI,5,3.0
Kw Atrium Studio,KW Atrium Studio,ChIJL5hTiXlxhlQR1vaApu3pflw,5,1.0
Kyle Mckillop,McKillop Insurance & Registry Services Inc.,ChIJd2qwi8eHblMRdjGJe4GkZA8,4,101.0
Labyrinth Gallery,Isobel Davis Art,ChIJ4TGFyaJqkFQRD8t78mJUEGE,no data,0.0
Lac La Hache,Lac la Hache,ChIJqyilIXBhgFMR-1d9lDZ9fz8,no data,0.0
Langley Centennial Museum,Langley Centennial Museum & Exhibition Centre,ChIJaajwdPbShVQRik-zbZqyktE,4.4,141.0
Lanta Meng,Lanta Meng Studio,ChIJayway_d3hlQRgcg1WuSmO3k,no data,0.0
Lattimer Gallery,Lattimer Gallery,ChIJYX-6P8lzhlQRzOxgwTC5Eho,4.5,55.0
Laura C. Muir Performing Arts Theatre,Laura C Muir Performing Arts,ChIJ_1sgl3HYhVQRhOjmf7KaOBs,3.8,4.0
Legacy Heritage Consultants,Legacy Heritage Fund,ChIJubjX_u9YwokR-VXaRUV-HOI,1,1.0
Library,UBC Okanagan Library,ChIJvzLVnn3tfVMRqh1Wz9uzJK4,3.7,11.0
Library Link,UBC Okanagan Library,ChIJvzLVnn3tfVMRqh1Wz9uzJK4,3.7,11.0
Lillooet Public Library,Lillooet Public Library,ChIJIbpoxTeKgFQRNYWm44xZpQY,5,1.0
Lipsett Glazing Systems Inc,Lipsett Glazing Systems,ChIJOzCGX-h3hlQRxHmWfw3JcY0,no data,0.0
