LIBRARY_SYSTEM,LOCATION,BRANCH_UNIQUE_ID,SCHOOL_DISTRICT_SERVED,PHONE,PHYSICAL_ADDRESS,CITY,PROVINCE,POSTAL_CODE,LATITUDE,LONGITUDE,MTLS_OUTLET,MTLS_CIRC_B,CIRC_CHILD_MTLS_B,REF_TRANS_B,VISITS_B,AD_INLIB_PGMS_B ,AD_OUT_PGMS_B ,ADULT_ATTEND_B ,CH_INLIB_PGMS_B ,CH_OUT_PGMS_B ,CHILD_ATTEND_B ,YA_INLIB_PGMS_B ,YA_OUT_PGMS_B ,YA_ATTEND_B ,ESL_INLIB_PGMS_B ,ESL_OUT_PGMS_B ,ESL_ATTEND_B ,LIBRARIAN_HRS_B ,LIB_TECH_HRS_B ,COMM_LIB_HRS_B ,OTH_HRS_B ,branch_copiers ,LEED_CERT_B ,SHRD_FAC ,FLOORSPACE ,HRS_OPEN ,DAYS_OPEN 
Fraser Valley Regional Library,Aldergrove Library,BABF003,34,1 (888) 668-4141,26770-29th Avenue,Aldergrove,BC,V4W 3B8,49.05506594,-122.4828672,"30,774","107,980","3,465",,,1,147,"5,807",0,1,5,,1,45,,,,"26,153","9,756",0,"69,074",6,No,No,"2,521.00","2,229",249
Fraser Valley Regional Library,Boston Bar Library,BABF004,78,(604) 796-9510,47643 Old Boston Bar Road,Boston Bar,BC,V0K 1C0,49.8615251,-121.4407783,"19,215","77,886","21,028","1,856","58,656",54,15,"1,804",35,15,"1,884",4,1,86,,,,221,"2,317",0,"3,268",2,No,No,418,"2,024",257
Fraser Valley Regional Library,Brookswood Library,BABF005,35,(604) 856-6415,20045 - 40th Avenue,Langley,BC,V3A 2W2,49.07501006,-122.6682803,"25,669","139,893","56,469","5,332","90,898",80,4,"2,675",66,13,"1,984",4,0,43,3,0,11,625,"3,827",0,"4,276",2,No,No,372,"2,885",301
Fraser Valley Regional Library,Chilliwack Library,BABF006,78,(604) 867-8847,45860 First Avenue,Chilliwack,BC,V2P 7K1,49.16760962,-121.9557807,"9,642","12,419","3,024","2,899","3,341",19,9,371,6,1,109,1,0,7,,,,52,0,0,978,1,No,No,93,618,103
Fraser Valley Regional Library,Clearbrook Library,BABF008,35,(604) 534-7055,32320 George Ferguson Way,Abbotsford,BC,V2T 6N4,49.05409388,-122.3289016,"14,663","69,723","29,125","5,161","42,177",28,0,331,73,2,"2,525",1,0,23,0,0,0,0,"2,849",0,"2,083",1,No,No,186,"2,021",257
Fraser Valley Regional Library,Fort Langley Library,BABF009,33,(604) 792-1941,9167 Glover Road,Fort Langley,BC,V1M 2R6,49.16914403,-122.5799168,"60,893","482,372","157,026","20,921","261,062",372,4,"8,075",200,26,"7,342",18,1,315,62,0,772,"4,360","7,239",0,"16,809",2,No,No,"1,440.00","3,111",345
Fraser Valley Regional Library,George Mackie Library,BABF010,34,(604) 859-7814,8440 - 112th Street,Delta,BC,V4C 4W9,49.15642869,-122.9117991,"78,932","743,452","314,467","28,468","314,468",240,14,"5,561",312,54,"15,607",20,1,808,35,0,701,"7,165","14,224",0,"17,270",3,No,No,"1,858.00","3,137",345
Fraser Valley Regional Library,Hope Library,BABF011,35,(604) 888-0722,1005 - 6th Avenue,Hope,BC,V0X 1L0,49.377998,-121.431461,"10,276","46,238","18,279","1,948","32,741",65,2,"1,610",46,4,"1,258",2,0,45,,,,11,108,0,"2,819",1,No,Yes,84,"1,715",257
Fraser Valley Regional Library,Ladner Pioneer Library,BABF012,37,(604) 594-8155,4683 - 51st Street,Delta,BC,V4K 2V8,49.08793887,-123.0830688,"45,559","276,939","115,136","15,423","94,796",238,8,"4,501",229,34,"9,162",21,4,948,63,0,318,"5,146","8,001",0,"9,155",2,No,No,"1,059.00","3,101",345
Fraser Valley Regional Library,Langley City Library,BABF007,78,(604) 869-2313,20399 Douglas Crescent,Langley,BC,V3A 4B3,49.10397553,-122.6570017,"16,776","74,165","18,173","4,672","51,611",135,12,"3,351",60,23,"2,563",2,2,125,,,,221,"1,937",0,"2,179",2,No,Yes,325,"1,897",301
Fraser Valley Regional Library,Maple Ridge Public Library,BABF013,37,(604) 946-6215,130 - 22470 Dewdney Trunk Road,Maple Ridge,BC,V2X 5Z6,49.21987606,-122.5996759,"29,222","204,195","59,603","1,743","181,428",230,8,"3,544",286,16,"6,978",5,1,257,47,0,318,"1,519","4,207",0,"7,331",2,No,No,"1,115.00","3,101",345
Fraser Valley Regional Library,Mission Library,BABF014,35,(604) 514-2850,33247 - 2nd Avenue,Mission,BC,V2V 1J7,49.13560179,-122.3036234,"30,722","206,285","66,012","14,462","221,260",179,11,"3,472",141,47,"5,288",5,0,48,7,0,119,"2,718","5,681",0,"9,843",2,No,Yes,"1,526.00","3,277",345
Fraser Valley Regional Library,Mount Lehman Library,BABF015,42,(604) 467-7417,5875 Mt. Lehman Road,Abbotsford,BC,V4X 1V5,49.10899643,-122.382596,"68,974","455,878","169,746","36,802","376,844",231,12,"7,347",225,82,"23,205",76,6,"1,178",83,0,776,"9,025","15,481",0,"12,250",3,No,Yes,"3,429.00","3,221",345
Fraser Valley Regional Library,Muriel Arnason Library,BABF017,75,(604) 826-6610,130 - 20338 65th Avenue,Langley,BC,V2Y 2X3,49.12036825,-122.659476,"49,844","325,040","115,425","5,228","176,892",122,9,"2,764",169,69,"11,454",16,0,317,,,,"2,277","8,781",0,"8,075",2,No,No,"1,394.00","3,029",345
Fraser Valley Regional Library,Murrayville Library,BABF018,34,(604) 856-4988,Unit 100 - 22071 48th Avenue,Langley,BC,V3A 3N1,49.08963608,-122.6119881,"4,942","15,757","7,732",510,"5,056",54,0,524,14,0,187,3,0,10,,,,0,14,0,"1,172",1,No,Yes,46,816,205
Fraser Valley Regional Library,Pitt Meadows Public Library,BABF019,35,(604) 532-3590,12047 Harris Road,Pitt Meadows,BC,V3Y 1Z2,49.22214401,-122.6901537,"31,787","221,130","117,265","5,930","93,881",74,2,"2,523",113,35,"5,577",3,0,81,7,0,103,"3,659","3,054",0,"6,137",2,No,No,530,"3,061",345
Fraser Valley Regional Library,Sardis Library,BABF020,35,(604) 533-0339,5819 Tyson Road,Sardis,BC,V2R 3R6,49.10770445,-121.9775774,"27,705","168,357","62,493","3,394","82,849",166,1,"1,595",56,4,"2,533",1,0,57,,,,"3,550","1,903",0,"6,591",2,No,No,768,"3,029",345
Fraser Valley Regional Library,Terry Fox Library,BABF021,42,(604) 465-4113,2470 Mary Hill Road,Port Coquitlam,BC,V3C 3B1,49.26057482,-122.777959,"24,270","130,480","52,270","7,600","101,920",131,8,"3,435",184,28,"6,373",8,1,87,41,0,228,"3,078","2,132",0,"8,085",2,No,Yes,"1,059.00","2,944",345
Fraser Valley Regional Library,Tsawwassen Library,BABF022,33,(604) 858-5503 ,1321A - 56th Street,Delta,BC,V4L 2A6,49.02660326,-123.0710408,"38,960","371,307","162,588","6,488","158,808",307,4,"4,707",207,60,"10,912",8,2,"1,024",79,0,987,"1,815","3,249",0,"10,394",2,No,No,975,"3,111",345
Fraser Valley Regional Library,Walnut Grove Library,BABF023,43,(604) 927-7999,8889 Walnut Grove Drive,Langley,BC,V1M 2N7,49.16324797,-122.6411765,"50,481","327,311","125,181","10,420","179,296",195,48,"6,621",203,121,"15,396",28,0,684,49,0,552,"4,422","7,979",0,"9,455",2,No,No,"1,394.00","2,939",345
Fraser Valley Regional Library,White Rock Library,BABF024,37,(604) 943-2271,15342 Buena Vista Avenue,White Rock,BC,V4B 1Y6,49.02354665,-122.7973412,"29,395","215,678","61,903","10,759","412,568",302,7,"4,255",228,18,"6,984",17,2,621,10,0,98,"1,879","4,732",0,"7,804",2,No,No,736,"3,101",345
Fraser Valley Regional Library,Yale Library,BABF025,35,(604) 882-0410,65050 Albert Street,Yale,BC,V0K 2S0,49.56459139,-121.4299065,"31,785","304,185","170,750","10,236","225,303",28,1,885,98,18,"4,308",3,0,75,17,0,68,"3,325","3,887",0,"7,472",2,No,No,557,"3,229",345
Fraser Valley Regional Library,Yarrow Library,BABF026,36,(604) 541-2201,4670 Community Street,Yarrow,BC,V2R 5E1,49.08679159,-122.0516912,"29,043","179,447","21,459","7,479","113,545",280,2,"4,125",190,7,"3,583",3,0,15,,,,"1,334","5,182",0,"6,430",2,No,Yes,934,"2,749",345
Gibsons & District Public Library,Gibsons & District Public Library,BGI001,78,(604) 863-2279,470 S Fletcher Road,Gibsons,BC,V0N 1V0,49.40027197,-123.5094395,"4,476","6,452",835,"2,037","2,297",23,0,150,1,0,11,,,,,,,52,0,0,"1,052",1,No,Yes,30,552,103
Grand Forks & District Public Library,Grand Forks & District Public Library,BGF001,33,(604) 823-4664,7342 Fifth Avenue,Grand Forks,BC,V0H 1H0,49.03236938,-118.4406009,"10,363","37,090","18,657","1,197","20,902",22,2,991,88,1,"2,506",2,0,21,0,0,0,0,"1,192",0,"1,966",1,No,No,112,"1,333",206
Granisle Public Library,Granisle Public Library,BGR001,46,(604) 886-2130,#2 Village Square -  McDonald Avenue,Granisle,BC,V0J 1W0,54.88604342,-126.2062419,36891,144444,37210,1750,107641,353,22,4952,146,6,2237,28,2,173,0,0,0,1536,2805,0,9012,4,No,No,648,2358,301
Greater Victoria Public Library,Bruce Hutchison Branch,BVI001,51,(250) 442-3944,4636 Elk Lake Drive,Saanich,BC,V8Z 7K2,48.50113046,-123.3889074,29671,65519,14641,25174,72446,304,22,2984,199,8,2370,1,0,24,0,0,0,1680,,,6448,1,No,Yes,540,2298,245
Greater Victoria Public Library,Central Saanich Branch,BVI002,91,(250) 697-2713,1209 Clarke Road,Central Saanich,BC,V8M 1P8,48.57564585,-123.4481673,13290,1054,294,0,1473,1,2,30,1,1,,0,1,100,0,0,0,0,0,0,1806,1,No,Yes,119,854,248
Greater Victoria Public Library,Emily Carr Branch,BVI004,63,(250) 727-0104,3500 Blanshard Street,Saanich,BC,V8X 1W3,48.45592735,-123.373911,"63,293","368,782","154,893","10,250","236,421",21,0,"1,518",129,26,"5,531",0,0,0,0,0,0,"2,730",,,"13,468",2,No,Yes,902,"2,987",331
Greater Victoria Public Library,Esquimalt Branch,BVI005,63,(250) 652-2013,1231 Esquimalt Road,Esquimalt,BC,V9A 3P1,48.42990612,-123.413588,"29,002","160,006","51,097","8,600","114,413",32,1,484,56,26,"3,166",10,0,58,0,0,0,0,0,,"5,668",1,No,Yes,437,"2,972",331
Greater Victoria Public Library,Goudy Branch,BVI006,63,(250) 475-6100,119 - 755 Goldstream Avenue,Langford,BC,V9B 2X4,48.4483177,-123.4982857,"33,214","188,605","77,559","6,350","126,827",7,0,152,15,0,296,0,0,0,0,0,0,0,0,,"10,088",1,No,No,512,"2,684",331
Greater Victoria Public Library,Greater Victoria Public Central Library,BVI003,61,(250) 414-7198,735 Broughton Street,Victoria,BC,V8W 3H2,48.42327089,-123.3642896,"45,581","191,737","61,302","6,100","120,627",47,6,"2,139",130,47,"4,811",8,0,45,31,0,75,"1,820",,,"11,440",2,No,Yes,802,"2,837",331
Greater Victoria Public Library,Juan de Fuca Branch,BVI007,62,(250) 391-5702,1759 Island Highway,Colwood,BC,V9B 1J1,48.44782943,-123.4646693,"14,258","106,090","40,483","3,550","63,150",1,0,48,26,17,"1,241",0,0,0,1,0,17,0,0,,"3,510",1,No,Yes,190,"2,660",351
Greater Victoria Public Library,Langford Heritage Branch,BVI011,61,(250) 382-7241,102-1314 Lakepoint Way,Victoria,BC,V9B 0S2,48.44608627,-123.5342119,"164,487","664,123","194,780","44,900","603,861",399,71,"10,467",177,82,"8,078",22,6,324,3,3,43,"13,104",,,"30,524",5,No,Yes,"4,520.00","3,288",331
Greater Victoria Public Library,Nellie McClung Branch,BVI008,61,,3950 Cedar Hill Road,Saanich,BC,V8P 3Z9,48.468443,-123.335387,"19,327","138,686","38,357","12,850","139,447",3,0,185,24,0,161,12,0,73,0,0,0,0,0,,"8,372",1,No,No,665,"1,955",233
Greater Victoria Public Library,Oak Bay Branch,BVI009,62,(250) 391-0653,1442 Monterey Avenue,Oak Bay,BC,V8S 4W1,48.42584232,-123.3151035,"77,582","386,613","172,585","13,550","202,384",58,14,"1,212",185,102,"11,427",14,1,163,1,0,3,"5,486",,,"14,638",3,No,Yes,"1,792.00","2,987",331
Greater Victoria Public Library,Saanich Centennial Branch,BVI010,62,(250) 940-4875,3110 Tillicum Road,Saanich,BC,V9A 6T2,48.45404814,-123.3988527,"18,971","100,660","54,935","4,200","79,713",14,0,112,47,8,"2,331",0,0,0,0,0,0,0,0,,"4,602",1,No,Yes,387,"2,678",331
Greater Victoria Public Library,sxwenxwen tenexw James Bay Branch,BVI012,63,(250) 477-7111,385 Menzies St,Victoria,BC,V8V 0C2,48.4178365,-123.3721233,"92,467","595,575","241,310","17,750","292,695",97,26,"1,934",165,60,"7,181",42,9,"2,029",47,0,449,"3,952",,,"14,664",1,No,No,"1,274.00","2,837",331
Greenwood Public Library,Greenwood Public Library,BGRE001,61,(250) 592-2489,346 South Copper Street,Greenwood,BC,V0H 1J0,49.08774059,-118.6770042,"73,101","567,725","192,947","20,900","301,690",57,2,"1,958",165,39,"7,491",18,0,214,0,0,0,"1,820",,,"16,406",1,No,Yes,"1,056.00","2,837",331
Hazelton District Public Library,Hazelton District Public Library,BHA001,63,(250) 477-9030,4255 Government Street,Hazelton,BC,V0J 1Y0,55.2562774,-127.6772884,"58,663","349,573","146,053","5,300","206,591",36,3,829,154,55,"7,665",16,2,183,0,0,0,"2,730",,,"13,468",2,Yes,Yes,"1,163.00","2,987",331
Houston Public Library,Houston Public Library,BH001,51,(250) 445-6111,3150 - 14th Street,Houston,BC,V0J 1Z0,54.39615184,-126.6544357,11286,6925,716,2274,4350,4,4,208,58,3,573,0,0,0,0,0,0,0,0,624,415,3,No,Yes,112,993,192
Hudson's Hope Public Library,Hudson's Hope Public Library,BHH001,82,(250) 842-5961,9905 Dudley Drive,Hudson's Hope,BC,V0C 1V0,56.025816,-121.913228,29451,11005,2706,3200,8000,15,3,221,15,,371,1,0,12,0,0,,475,0,0,4741,1,No,Yes,329,1637,260
Invermere Public Library,Invermere Public Library,BIN001,54,(250) 845-2256,201 - 7th Avenue,Invermere,BC,V0A 1K0,50.5104463,-116.0298399,19347,19518,7022,3715,15574,63,4,2138,34,3,1633,0,0,0,25,0,137,0,0,2038,2704,2,No,No,495,1690,244
Kaslo & District Public Library,Kaslo & District Public Library,BKASL001,60,(250) 783-9414,413 Fourth Street,Kaslo,BC,V0G 1M0,49.91065842,-116.9049382,17300,7953,3591,150,6692,5,1,58,203,0,660,67,0,321,0,0,0,0,0,2883,2685,4,No,No,210,1701,275
Kimberley Public Library,Kimberley Public Library,BKI001,6,(250) 342-6416,115 Spokane Street,Kimberley,BC,V1A 2E5,49.686154,-115.984693,14466,39279,15518,9250,37250,118,5,1151,203,33,6855,9,1,70,0,2,8,0,0,3577,5189,1,No,Yes,316,2400,300
Kitimat Public Library Association,Kitimat Public Library Association,BKIT001,8,(250) 353-2942,940 Wakashan Avenue,Kitimat,BC,V8C 2G3,54.051291,-128.651814,16165,24356,8451,3050,14000,45,1,370,72,2,629,12,1,138,,,,0,0,1714,1343,1,No,Yes,178,1400,201
Lillooet Area Public Library,Bridge River Branch,BLP001,6,(250) 427-3112,41 Bridge River Townsite,Shalalth,BC,V0N 3B0,50.72766001,-122.2438847,37032,46753,17220,4150,,15,7,545,12,3,1512,1,1,73,0,0,,0,1950,870,3300,2,,,511,1977,250
Lillooet Area Public Library,Gold Bridge Branch,BLP002,82,(250) 632-8985,Haylmore Street,Gold Bridge,BC,V0K 1P0,50.853689,-122.83471,56882,31312,11783,12950,45606,100,2,370,57,11,1784,,,,1,,15,1820,936,0,8196,2,No,No,860,2599,304
